scorer,DLC_resnet50_MR10_11_MJJ_DLCMay8shuffle1_100000,DLC_resnet50_MR10_11_MJJ_DLCMay8shuffle1_100000,DLC_resnet50_MR10_11_MJJ_DLCMay8shuffle1_100000,DLC_resnet50_MR10_11_MJJ_DLCMay8shuffle1_100000,DLC_resnet50_MR10_11_MJJ_DLCMay8shuffle1_100000,DLC_resnet50_MR10_11_MJJ_DLCMay8shuffle1_100000,DLC_resnet50_MR10_11_MJJ_DLCMay8shuffle1_100000,DLC_resnet50_MR10_11_MJJ_DLCMay8shuffle1_100000,DLC_resnet50_MR10_11_MJJ_DLCMay8shuffle1_100000
bodyparts,Body,Body,Body,top_left,top_left,top_left,top_right,top_right,top_right
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,65.50469208,149.2518768,0.003279618,44.41588593,159.9423218,1,42.61826706,95.98780823,1
1,96.65215302,117.4344101,0.999999881,44.75824738,160.4054565,1,42.53564835,96.23238373,1
2,99.09509277,119.3618622,1,44.74180222,160.3012085,1,42.44348907,96.01911926,1
3,102.641098,123.4016953,0.999999404,44.68655396,160.2349091,1,42.36471176,96.02279663,1
4,103.8682251,124.5785446,0.999999523,44.58353424,160.2458801,1,42.22347641,96.17708588,1
5,106.1715012,129.2875214,0.999999404,44.47898865,160.3034515,1,42.50850296,96.18418884,1
6,106.9650192,132.995697,0.999999881,44.41569901,160.358963,1,42.61318588,96.14422607,1
7,106.7211151,136.0996399,0.999999881,44.33996201,160.321991,1,42.61601639,96.21076965,1
8,107.4676514,136.9338379,0.999999762,44.43072128,160.3108521,1,42.53856659,96.27677155,1
9,108.3613358,137.0733185,0.999999762,44.46818542,160.3247986,1,42.75197601,96.26407623,1
10,108.2355804,136.8892975,0.999999762,44.42212296,160.3709106,1,42.6200676,96.20713043,1
11,107.5530701,137.1352844,0.999999762,44.43782425,160.3126984,1,42.70743561,96.17893982,1
12,106.215271,137.7666931,0.999999642,44.49539185,160.3113251,1,42.6472168,96.17336273,1
13,104.7735825,139.400589,0.999999404,44.62770081,160.3106689,1,42.75225449,96.21880341,1
14,104.4877472,140.8687286,0.999999166,44.68416214,160.3126373,1,42.8176384,96.15858459,1
15,103.9315262,144.0350189,0.999999166,44.59195328,160.3325653,1,42.73243713,96.16665649,1
16,101.3425064,146.6282349,0.999999881,44.64425278,160.3256378,1,42.69728088,96.16052246,1
17,99.51887512,147.543396,0.999999881,44.73741531,160.3373413,1,42.8352623,96.22633362,1
18,98.79959106,148.4767456,1,44.72265244,160.3488617,1,42.77141571,96.22268677,1
19,99.62226105,149.9693756,1,44.66305161,160.3535767,1,42.8329277,96.20397186,1
20,100.2961273,150.7706757,1,44.63572311,160.4130554,1,42.73091507,96.07593536,1
21,99.95957184,150.2712097,1,44.63320541,160.4002838,1,42.94593048,96.13326263,1
22,99.91262817,150.1336365,1,44.70546722,160.3614655,1,42.90906525,96.14345551,1
23,99.80448914,150.0362396,1,44.66159439,160.3719025,1,42.80488205,96.08853149,1
24,99.85861206,149.921524,1,44.65657425,160.3995819,1,42.76964188,96.09443665,1
25,99.9139328,150.0043793,1,44.74855804,160.3601379,1,42.81790161,96.15167236,1
26,99.90412903,149.9647064,1,44.61442184,160.3603058,1,42.7572403,96.12123871,1
27,99.93414307,149.9883575,1,44.60261536,160.3475494,1,42.81569672,96.19129181,1
28,99.97989655,149.9730988,1,44.63468552,160.3515167,1,42.80432892,96.17395782,1
29,99.99950409,150.0490265,1,44.62486267,160.3993073,1,42.69229126,96.18708801,1
30,100.0624847,150.0252533,1,44.72472382,160.4520569,1,42.84807587,96.11204529,1
31,99.97867584,150.0100861,1,44.68845749,160.3338928,1,42.87977219,96.19920349,1
32,99.98763275,149.9975281,1,44.6713028,160.4331818,1,42.84183121,96.14218903,1
33,100.0295639,149.997879,1,44.63738251,160.3895569,1,42.9235611,96.19564056,1
34,100.0067291,150.0380249,1,44.67326736,160.33638,1,42.81962585,96.11869812,1
35,100.0444183,150.0144806,1,44.61265182,160.3894958,1,42.84766388,96.14522552,1
36,99.98608398,150.0107422,1,44.68556595,160.3930511,1,42.7751236,96.21820068,1
37,100.1303787,150.000351,1,44.66010666,160.3726959,1,42.80828094,96.19675446,1
38,100.1194916,150.0761414,1,44.69290924,160.3678436,1,42.70437241,96.19724274,1
39,100.1051636,150.0705414,1,44.63907623,160.3656921,1,42.82014847,96.21484375,1
40,100.1541595,150.2260742,1,44.70079803,160.3388519,1,42.78693008,96.21495056,1
41,100.0675659,150.1845245,1,44.60271072,160.2955475,1,42.80488205,96.23108673,1
42,100.2179184,150.1327057,1,44.66896057,160.4228821,1,42.74607849,96.11009979,1
43,100.1384125,150.1482391,1,44.65470123,160.3247986,1,42.89361954,96.17488861,1
44,100.1498795,150.1925354,1,44.61558533,160.3525696,1,42.84274673,96.08252716,1
45,100.149231,150.1849823,1,44.65994263,160.385437,1,42.79462814,96.17958069,1
46,100.111412,150.1572418,1,44.62968826,160.3470764,1,42.72465515,96.18400574,1
47,100.1521759,150.1382294,1,44.60939407,160.3880005,1,42.78130341,96.21025085,1
48,100.1369476,150.1663055,1,44.62475204,160.3752441,1,42.87065887,96.18869019,1
49,100.1214371,150.1227722,1,44.65836334,160.3576355,1,42.91914749,96.21792603,1
50,100.0331039,150.0585175,1,44.65881729,160.3831177,1,42.85100174,96.18678284,1
